"idsite","occ1","occ2","occ3","occ4","effort","altitude","foret","X","Y"
761,0,0,0,0,-0.621558760060196,-0.840766316338273,-0.377782381620816,915000,6235000
762,0,0,0,0,-0.419023274830214,-0.773260488107064,-0.264774703153329,925000,6235000
763,0,0,0,0,-0.378516177784217,-0.407655521004832,0.439970524737237,935000,6235000
764,0,0,0,0,-0.175980692554235,-0.616600913502395,0.0922773976008252,945000,6235000
765,0,0,0,0,-0.0949664984622425,-0.845487731423283,0.0629958763866664,955000,6235000
766,0,0,0,0,-0.0139523043702497,-0.780514691179773,-0.442493095424277,965000,6235000
767,0,0,0,0,-0.135473595508239,-0.652991777563004,0.0550279349889035,975000,6235000
768,0,0,0,0,-0.297501983692225,-0.728459774275743,-0.807762577745985,985000,6235000
769,0,0,0,0,-0.621558760060196,-0.904410814469734,-1.07824397047837,995000,6235000
770,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,1005000,6235000
782,0,0,0,0,-0.135473595508239,-0.422733863687513,-0.475813883781059,525000,6245000
783,0,0,0,0,-0.135473595508239,-0.452303309485251,-1.04523054548458,535000,6245000
784,0,0,0,0,-0.378516177784217,-0.516889091926537,-0.938712975595765,545000,6245000
785,0,0,0,0,-0.500037468922207,-0.578703836852886,-0.995044156566984,555000,6245000
786,0,0,0,0,-0.45953037187621,-0.546778348853694,-1.17757575571622,565000,6245000
787,0,0,0,0,-0.419023274830214,-0.551537851234658,-0.445303380582783,575000,6245000
788,0,0,0,0,-0.419023274830214,-0.579603082159737,-1.00466006332573,585000,6245000
789,0,0,0,0,-0.419023274830214,-0.529012353996392,-1.20692692367686,595000,6245000
790,0,0,0,0,-0.500037468922207,-0.548042302584816,-1.12711550291031,605000,6245000
791,0,0,0,0,-0.5810516630142,-0.673544234189272,-1.21970390661863,615000,6245000
